Sample	No	Stn	Individual	Initial depth	Final Depth	Year	Date	Long	Lat	Size	RFLP_diagnostic	Msat_diagnostic	Combined_diagnostic	EL696609	EL696609	EL585922	EL585922	EH666870	EH666870	EL773519	EL773519	EH666474	EH666474	EL773359	EL773359	FK868270	FK868270	FG632811	FG632811	FK670364	FK670364	FK867682	FK867682
Ech2	35	DMC-2	5	110	0	2009	2022-09-09	-69.5	43.8	2.5	F	F	F	118	124	163	163	141	141	191	191	133	136	133	133	238	241	247	247	288	291	170	170
Ech2	36	DMC-2	6	110	0	2009	2022-09-09	-69.5	43.8	2.4	F	F	F	120	124	163	163	141	141	191	197	133	133	133	133	238	238	247	247	291	291	168	170
Ech2	37	DMC-2	7	110	0	2009	2022-09-09	-69.5	43.8	2.5	F	F	F	120	120	163	163	138	141	191	191	133	133	127	133	238	238	247	247	288	288	170	170
Ech2	38	DMC-2	8	110	0	2009	2022-09-09	-69.5	43.8	2.2	F	F	F	120	122	163	163	138	141	191	197	133	139	127	133	244	244	244	244	291	291	168	170
Ech2	39	DMC-2	9	110	0	2009	2022-09-09	-69.5	43.8	2.4	F	F	F	118	124	163	163	138	141	191	194	133	133	124	133	0	0	247	247	291	291	168	170
Ech2	40	DMC-2	10	110	0	2009	2022-09-09	-69.5	43.8	2.4	F	F	F	118	120	163	163	138	141	191	191	133	133	124	127	238	238	247	247	288	291	168	168
Ech2	41	DMC-2	11	110	0	2009	2022-09-09	-69.5	43.8	2.5	F	F	F	116	118	163	172	141	141	191	191	133	133	133	133	238	238	247	247	291	291	168	170
Ech2	42	DMC-2	12	110	0	2009	2022-09-09	-69.5	43.8	2	F	F	F	116	118	163	163	138	141	191	194	133	133	124	133	238	238	247	247	291	291	168	170
Ech2	43	DMC-2	13	110	0	2009	2022-09-09	-69.5	43.8	2.5	F	F	F	112	116	163	163	138	141	191	191	0	0	127	133	232	238	241	247	291	291	164	166
Ech2	44	DMC-2	14	110	0	2009	2022-09-09	-69.5	43.8	2.3	F	F	F	116	116	163	187	141	141	191	191	133	133	124	124	238	238	247	247	288	297	170	170
Ech2	45	DMC-2	15	110	0	2009	2022-09-09	-69.5	43.8	2.4	F	F	F	120	120	163	163	141	141	191	197	133	133	133	136	238	238	247	247	288	291	168	170
Ech2	46	DMC-2	16	110	0	2009	2022-09-09	-69.5	43.8	2.1	F	F	F	118	124	163	163	138	141	191	191	133	139	127	130	238	238	247	247	285	288	168	170
Ech2	47	DMC-2	17	110	0	2009	2022-09-09	-69.5	43.8	2.2	F	F	F	118	120	163	163	138	141	0	0	133	133	124	127	238	238	247	247	303	303	170	170
Ech2	48	DMC-2	18	110	0	2009	2022-09-09	-69.5	43.8	2.8	F	F	F	120	120	163	163	141	141	191	191	133	136	124	133	238	238	247	247	0	0	168	168
Ech2	49	DMC-2	19	110	0	2009	2022-09-09	-69.5	43.8	2.4	F	F	F	116	116	163	163	0	0	191	191	133	136	127	133	241	241	247	247	291	291	168	168
Ech2	50	DMC-2	20	110	0	2009	2022-09-09	-69.5	43.8	2.1	F	F	F	118	120	163	163	141	141	191	191	133	133	124	124	238	238	247	247	291	291	170	170
Ech2	51	DMC-2	21	110	0	2009	2022-09-09	-69.5	43.8	2.5	F	F	F	118	120	163	163	138	141	185	191	133	136	124	142	238	241	247	247	288	291	168	170
Ech2	52	DMC-2	22	110	0	2009	2022-09-09	-69.5	43.8	2.4	F	F	F	124	128	163	163	141	141	191	191	133	133	133	133	238	238	247	247	294	294	170	170
Ech2	53	DMC-2	23	110	0	2009	2022-09-09	-69.5	43.8	2.4	F	F	F	116	120	163	163	141	141	191	191	133	133	124	130	238	238	247	247	282	282	168	170
Ech2	54	DMC-2	24	110	0	2009	2022-09-09	-69.5	43.8	2.4	F	H	H	116	118	163	163	132	135	191	191	133	133	133	133	238	241	247	247	285	291	170	170
Ech2	55	DMC-2	25	110	0	2009	2022-09-09	-69.5	43.8	2.3	F	F	F	120	124	163	163	138	141	191	191	133	133	130	133	238	238	247	247	288	291	168	170
Ech2	56	DMC-2	26	110	0	2009	2022-09-09	-69.5	43.8	2.2	F	F	F	118	120	163	166	141	147	191	191	133	133	130	133	238	238	247	247	288	288	170	170
Ech2	57	DMC-2	27	110	0	2009	2022-09-09	-69.5	43.8	2	F	F	F	118	124	163	163	138	141	191	191	133	133	127	130	238	238	247	247	294	294	170	170
Ech2	58	DMC-2	28	110	0	2009	2022-09-09	-69.5	43.8	2.5	F	F	F	116	124	163	163	138	141	191	191	133	133	124	142	238	238	247	247	282	282	168	168
Ech2	59	DMC-2	29	110	0	2009	2022-09-09	-69.5	43.8	2.3	F	F	F	118	118	163	163	141	141	191	191	133	139	127	127	241	241	247	247	288	288	168	176
Ech2	60	DMC-2	30	110	0	2009	2022-09-09	-69.5	43.8	2.2	F	F	F	118	130	163	163	138	141	191	194	133	133	133	133	238	238	247	247	294	294	168	170
Ech2	61	DMC-2	31	110	0	2009	2022-09-09	-69.5	43.8	2	F	F	F	116	118	163	163	138	141	191	191	133	133	130	133	238	238	247	247	291	291	170	170
Ech2	62	DMC-2	32	110	0	2009	2022-09-09	-69.5	43.8	2.1	F	H	H	116	118	163	163	141	141	191	197	133	133	133	133	238	241	247	247	288	294	168	170
Ech2	63	DMC-2	33	110	0	2009	2022-09-09	-69.5	43.8	2.3	F	F	F	118	118	163	163	141	144	191	191	133	133	127	133	238	238	247	247	291	294	168	170
Ech2	64	DMC-2	34	110	0	2009	2022-09-09	-69.5	43.8	2.2	F	F	F	118	118	163	163	138	141	191	191	133	133	124	133	238	238	247	247	288	294	170	170
Ech2	65	DMC-2	35	110	0	2009	2022-09-09	-69.5	43.8	2.4	F	F	F	120	122	163	163	0	0	191	191	133	133	124	133	238	238	247	247	288	288	168	170
Ech2	66	DMC-2	36	110	0	2009	2022-09-09	-69.5	43.8	2.4	F	F	F	120	122	163	163	138	141	191	191	133	133	127	133	238	238	247	247	288	288	170	170
Ech2	67	DMC-2	37	110	0	2009	2022-09-09	-69.5	43.8	2.4	F	F	F	116	118	163	163	138	141	191	191	133	133	124	133	238	238	247	247	288	288	168	168
Ech2	68	DMC-2	38	110	0	2009	2022-09-09	-69.5	43.8	2.4	F	F	F	118	128	163	163	141	141	0	0	133	136	133	133	238	241	247	247	288	294	170	170
Ech2	69	DMC-2	39	110	0	2009	2022-09-09	-69.5	43.8	2.2	F	F	F	116	116	163	166	138	141	191	191	133	133	124	127	238	238	247	247	288	288	168	168
Ech2	70	DMC-2	40	110	0	2009	2022-09-09	-69.5	43.8	2.3	F	F	F	118	120	163	163	141	141	191	194	133	133	124	124	238	238	247	247	291	291	168	170
Ech2	71	DMC-2	41	110	0	2009	2022-09-09	-69.5	43.8	2.3	F	F	F	116	124	163	163	138	141	191	197	133	136	127	130	238	241	247	247	282	282	170	170
Ech2	72	DMC-2	42	110	0	2009	2022-09-09	-69.5	43.8	2.3	F	F	F	116	118	163	181	141	141	191	197	133	133	124	127	238	238	247	247	294	294	170	170
Ech2	73	DMC-2	43	110	0	2009	2022-09-09	-69.5	43.8	2.2	F	F	F	116	124	163	163	141	141	191	194	133	133	130	133	238	238	247	247	288	288	168	170
Ech2	74	DMC-2	44	110	0	2009	2022-09-09	-69.5	43.8	2.3	F	F	F	120	122	163	163	141	141	191	197	133	136	124	133	0	0	247	247	288	294	170	170
Ech2	75	DMC-2	45	110	0	2009	2022-09-09	-69.5	43.8	2.2	F	H	H	114	118	163	163	141	144	191	197	133	133	124	133	238	238	247	247	288	291	170	170
Ech2	76	DMC-2	46	110	0	2009	2022-09-09	-69.5	43.8	2.1	F	F	F	116	120	163	163	138	141	188	188	136	136	130	133	241	241	247	247	288	288	170	170
Ech2	77	DMC-2	47	110	0	2009	2022-09-09	-69.5	43.8	2.1	F	H	H	116	128	163	163	138	141	191	197	133	133	124	133	238	247	247	247	285	285	170	170
Ech2	78	DMC-2	48	110	0	2009	2022-09-09	-69.5	43.8	2.2	F	F	F	118	120	163	163	141	141	191	191	136	136	124	133	241	241	247	247	288	291	170	170
Ech3	79	FC-33	1	1000	0	2008	2010-07-08	-43.4	47	2.2	F	F	F	120	124	163	163	129	141	191	194	133	133	130	130	238	238	247	247	288	303	170	170
Ech3	80	FC-33	2	1000	0	2008	2010-07-08	-43.4	47	2.6	F	F	F	112	126	163	163	141	141	191	191	133	133	124	124	238	238	247	247	291	291	170	170
Ech3	81	FC-33	4	1000	0	2008	2010-07-08	-43.4	47	2.5	F	H	H	120	122	163	163	138	138	191	191	133	133	127	133	238	238	247	247	285	285	170	170
Ech3	82	FC-33	5	1000	0	2008	2010-07-08	-43.4	47	2.5	F	F	F	118	118	163	163	138	141	191	194	133	133	124	133	238	238	247	247	291	291	170	170
Ech3	83	FC-33	6	1000	0	2008	2010-07-08	-43.4	47	2.7	F	F	F	122	124	163	166	141	141	191	191	133	136	133	133	238	241	247	247	0	0	168	170
Ech3	84	FC-33	7	1000	0	2008	2010-07-08	-43.4	47	3	F	F	F	118	120	163	163	138	141	191	191	133	133	130	133	238	250	247	247	288	297	170	170
Ech3	85	FC-33	8	1000	0	2008	2010-07-08	-43.4	47	2.6	F	F	F	118	118	163	163	141	141	191	191	133	133	124	133	238	238	247	247	291	297	168	170
Ech3	86	FC-33	9	1000	0	2008	2010-07-08	-43.4	47	2.5	F	H	H	120	120	163	163	138	138	191	197	133	133	133	133	238	238	247	247	288	288	168	170
Ech3	87	FC-33	10	1000	0	2008	2010-07-08	-43.4	47	2.3	F	F	F	116	120	163	163	138	144	191	191	133	133	127	130	238	238	247	247	288	291	170	170
Ech3	88	FC-33	11	1000	0	2008	2010-07-08	-43.4	47	2.4	F	F	F	114	120	163	163	138	138	191	191	133	136	124	136	238	241	247	247	285	300	170	170
Ech3	89	FC-33	12	1000	0	2008	2010-07-08	-43.4	47	2.6	F	F	F	118	118	163	163	138	138	191	191	133	133	124	124	238	238	247	247	294	294	170	170
Ech3	90	FC-33	13	1000	0	2008	2010-07-08	-43.4	47	2.4	F	F	F	116	118	148	163	138	138	191	191	133	136	124	133	238	241	247	247	288	288	168	170
Ech3	91	FC-33	14	1000	0	2008	2010-07-08	-43.4	47	2.5	F	F	F	116	118	163	163	138	141	191	191	133	133	127	133	238	238	247	247	288	288	170	170
Ech3	92	FC-33	15	1000	0	2008	2010-07-08	-43.4	47	2.5	F	H	H	118	124	151	163	135	141	191	191	133	133	133	133	238	238	247	247	282	291	170	170
Ech3	93	FC-33	16	1000	0	2008	2010-07-08	-43.4	47	2.1	F	F	F	116	118	163	163	141	141	191	191	133	133	127	127	238	238	247	247	288	288	170	170
Ech3	94	FC-33	17	1000	0	2008	2010-07-08	-43.4	47	2.3	F	F	F	116	118	163	163	138	141	191	191	133	133	127	133	238	238	247	247	291	291	170	170
Ech3	95	FC-33	18	1000	0	2008	2010-07-08	-43.4	47	2.4	F	F	F	118	118	163	163	138	141	191	191	133	136	133	133	238	238	247	247	282	288	168	170
Ech3	96	FC-33	19	1000	0	2008	2010-07-08	-43.4	47	2.2	F	F	F	110	118	163	163	138	138	188	191	133	133	124	133	238	238	247	247	282	282	170	170
Ech3	97	FC-33	20	1000	0	2008	2010-07-08	-43.4	47	2.3	F	F	F	116	118	151	163	141	141	191	191	133	133	127	133	238	238	247	247	288	288	170	170
Ech3	98	FC-33	21	1000	0	2008	2010-07-08	-43.4	47	2.1	F	F	F	118	118	163	163	138	141	191	194	133	133	124	136	238	238	244	247	288	288	170	170
Ech3	99	FC-33	22	1000	0	2008	2010-07-08	-43.4	47	2.4	F	F	F	118	118	163	163	138	141	191	191	133	133	130	136	238	238	247	247	288	294	168	168
Ech3	100	FC-33	23	1000	0	2008	2010-07-08	-43.4	47	2.2	F	F	F	112	118	163	163	141	141	191	194	133	133	127	130	238	238	247	247	288	297	168	170
Ech3	101	FC-33	24	1000	0	2008	2010-07-08	-43.4	47	2.3	F	F	F	118	118	163	163	141	141	191	191	133	133	124	133	238	238	247	247	288	294	170	170
Ech3	102	FC-33	25	1000	0	2008	2010-07-08	-43.4	47	2.8	F	F	F	118	120	163	163	141	141	191	191	133	133	124	133	238	238	247	247	288	294	170	170
Ech3	103	FC-33	26	1000	0	2008	2010-07-08	-43.4	47	2.3	F	F	F	114	116	163	163	141	141	191	191	133	136	124	133	238	241	247	247	288	294	168	168
Ech3	104	FC-33	27	1000	0	2008	2010-07-08	-43.4	47	2.7	F	F	F	116	120	163	163	138	141	191	194	133	133	124	133	238	238	247	247	291	291	170	170
